contract_id,date,department,vendor_name,amount,category,description,budget,bidders_count
C0371,2024-06-01,PWD,PharmaCo Enterprises,5091747,Infrastructure,Purchase of 272 furniture for government offices,5231913,5
C0372,2024-07-02,Transport,Digital Solutions Inc,1084425,Construction,Purchase of 59 desks for government offices,1159647,6
C0373,2024-04-18,IT Department,GreenTech Industries,9513900,Maintenance,Purchase of 242 furniture for government offices,9190532,3
C0374,2024-11-15,Social Welfare,EduSupply Solutions,1200000,Furniture,Emergency procurement of laptops for department,742987,1
C0375,2024-03-04,Health,Urban Builders,5052802,Maintenance,Purchase of 204 vehicles for government offices,4935144,3
C0376,2024-05-18,Health,DataSystems India,925647,Medical Supplies,Purchase of 418 servers for government offices,987499,7
C0377,2024-02-24,Social Welfare,DataSystems India,8599248,Construction,Purchase of 153 medicines for government offices,8463287,7
C0378,2024-01-21,Health,PrimeVendor Corporation,1006461,Medical Supplies,Purchase of 51 laptops for government offices,1019027,4
C0379,2024-10-20,Health,PrimeVendor Corporation,1084833,Services,Purchase of 420 furniture for government offices,1140526,3
C0380,2024-11-25,IT Department,PharmaCo Enterprises,1758475,Vehicles,Purchase of 497 laptops for government offices,1681999,4
C0381,2024-08-06,PWD,PharmaCo Enterprises,527686,Vehicles,Purchase of 486 desks for government offices,562375,3
C0382,2024-08-12,Social Welfare,Auto Parts Ltd,2127085,Infrastructure,Purchase of 143 laptops for government offices,2046433,5
C0383,2024-05-19,Education,SmartCity Developers,5199848,Construction,Purchase of 107 desks for government offices,5378463,4
C0384,2024-02-23,Social Welfare,GreenTech Industries,9448024,Vehicles,Purchase of 142 servers for government offices,9674423,6
C0385,2024-11-09,Health,DataSystems India,2200000,Vehicles,Critical procurement of laptops for department,1215613,2
C0386,2024-01-07,Agriculture,HealthFirst Products,10302586,Maintenance,Purchase of 164 furniture for government offices,10559783,7
C0387,2024-12-18,Social Welfare,Medicare Corporation,464927,Maintenance,Purchase of 227 furniture for government offices,485599,6
C0388,2024-11-09,Urban Development,PharmaCo Enterprises,2200000,Office Supplies,Urgent procurement of laptops for department,1221286,2
C0389,2024-06-18,Health,EduSupply Solutions,476039,Infrastructure,Purchase of 256 desks for government offices,486304,6
C0390,2024-10-20,Education,BuildCo Infrastructure,4670602,Furniture,Purchase of 431 furniture for government offices,4509148,6
C0391,2024-07-30,Agriculture,PharmaCo Enterprises,15000000,IT Equipment,Urgent procurement of furniture for department,6410117,1
C0392,2024-04-24,Agriculture,Digital Solutions Inc,1936090,Infrastructure,Purchase of 416 furniture for government offices,1995273,6
C0393,2024-02-28,Education,PrimeVendor Corporation,1500000,Construction,Immediate procurement of laptops for department,761481,1
C0394,2024-09-09,Transport,EduSupply Solutions,4160442,Office Supplies,Purchase of 111 vehicles for government offices,4282803,4
C0395,2024-06-22,PWD,EduSupply Solutions,7800000,IT Equipment,Critical procurement of furniture for department,4630545,1
C0396,2024-09-28,PWD,Digital Solutions Inc,10805924,Construction,Purchase of 310 desks for government offices,11443971,6
C0397,2024-02-23,Transport,DataSystems India,9818482,Furniture,Purchase of 264 servers for government offices,9738360,6
C0398,2024-06-24,IT Department,SmartCity Developers,5207195,Maintenance,Purchase of 408 furniture for government offices,5040374,7
C0399,2024-06-09,Agriculture,PrimeVendor Corporation,9897749,Construction,Purchase of 415 medicines for government offices,9661347,7
C0400,2024-12-29,Agriculture,HealthFirst Products,951168,Infrastructure,Purchase of 413 laptops for government offices,989462,5
C0401,2024-10-25,Education,HealthFirst Products,5011365,Medical Supplies,Purchase of 196 vehicles for government offices,5343130,7
C0402,2024-01-13,IT Department,Medicare Corporation,500538,IT Equipment,Purchase of 196 furniture for government offices,488518,4
C0403,2024-12-19,Transport,Digital Solutions Inc,1026078,Maintenance,Purchase of 102 servers for government offices,979083,6
C0404,2024-07-18,Agriculture,HealthFirst Products,2015761,IT Equipment,Purchase of 248 vehicles for government offices,1927283,6
C0405,2024-01-07,Agriculture,GreenTech Industries,986168,Maintenance,Purchase of 474 desks for government offices,1036975,6
C0406,2024-11-04,Health,Auto Parts Ltd,888253,IT Equipment,Purchase of 145 desks for government offices,864328,3
C0407,2024-08-07,Urban Development,Digital Solutions Inc,1678039,Construction,Purchase of 52 medicines for government offices,1721530,5
C0408,2024-01-21,IT Department,EduSupply Solutions,1958128,Maintenance,Purchase of 481 furniture for government offices,2057162,7
C0409,2024-07-02,Social Welfare,BuildCo Infrastructure,4500000,Vehicles,Urgent procurement of furniture for department,3144279,1
C0410,2024-04-23,Education,BuildCo Infrastructure,1798639,Vehicles,Purchase of 321 vehicles for government offices,1777351,7
C0411,2024-08-16,Social Welfare,PrimeVendor Corporation,10755821,Medical Supplies,Purchase of 399 medicines for government offices,10558962,3
C0412,2024-07-16,Urban Development,EduSupply Solutions,1614823,IT Equipment,Purchase of 313 servers for government offices,1642586,5
C0413,2024-05-31,Education,Urban Builders,896093,Medical Supplies,Purchase of 135 servers for government offices,860880,3
C0414,2024-04-17,Social Welfare,Urban Builders,1059485,Medical Supplies,Purchase of 155 servers for government offices,1064938,3
C0415,2024-12-17,IT Department,HealthFirst Products,5075302,Medical Supplies,Purchase of 77 desks for government offices,4846533,3
C0416,2024-10-21,Education,Auto Parts Ltd,1844579,Medical Supplies,Purchase of 271 medicines for government offices,1860527,6
C0417,2024-09-30,Health,DataSystems India,15900000,Services,Emergency procurement of supplies for department,9948479,1
C0418,2024-11-06,Transport,Medicare Corporation,10300000,Furniture,Critical procurement of equipment for department,6699544,1
C0419,2024-10-06,PWD,BuildCo Infrastructure,889416,IT Equipment,Purchase of 55 servers for government offices,947501,5
C0420,2024-01-03,Agriculture,QuickOffice Supplies,4805728,Furniture,Purchase of 157 furniture for government offices,5157061,5
C0421,2024-11-26,PWD,Urban Builders,848286,IT Equipment,Purchase of 149 laptops for government offices,830219,5
C0422,2024-10-08,Urban Development,PharmaCo Enterprises,8219433,Vehicles,Purchase of 100 desks for government offices,8526174,5
C0423,2024-03-06,Urban Development,PharmaCo Enterprises,830013,Services,Purchase of 212 vehicles for government offices,855359,4
C0424,2024-12-21,Agriculture,QuickOffice Supplies,9700585,Office Supplies,Purchase of 136 laptops for government offices,10234126,6
C0425,2024-12-30,Urban Development,EduSupply Solutions,4415019,Vehicles,Purchase of 499 vehicles for government offices,4400595,5
C0426,2024-06-05,Transport,DataSystems India,426365,Medical Supplies,Purchase of 489 desks for government offices,438670,5
C0427,2024-02-08,Transport,PrimeVendor Corporation,9894879,IT Equipment,Purchase of 257 servers for government offices,10445464,7
C0428,2024-10-09,IT Department,Medicare Corporation,9416311,Infrastructure,Purchase of 250 desks for government offices,9894430,5
C0429,2024-09-13,PWD,GreenTech Industries,4545798,Maintenance,Purchase of 484 servers for government offices,4324767,4
C0430,2024-03-12,Urban Development,PharmaCo Enterprises,969907,IT Equipment,Purchase of 426 furniture for government offices,992753,4
C0431,2024-04-22,Agriculture,Auto Parts Ltd,818858,Infrastructure,Purchase of 392 desks for government offices,817242,3
C0432,2024-08-20,IT Department,TechCorp Services,547088,Maintenance,Purchase of 374 medicines for government offices,542782,7
C0433,2024-10-18,Social Welfare,PrimeVendor Corporation,4547945,Office Supplies,Purchase of 314 medicines for government offices,4706821,3
C0434,2024-09-21,PWD,EduSupply Solutions,1892116,Construction,Purchase of 53 servers for government offices,1916097,7
C0435,2024-04-27,Social Welfare,GreenTech Industries,3600000,Vehicles,Emergency procurement of equipment for department,1657615,1
C0436,2024-02-28,Education,Medicare Corporation,4718531,Construction,Purchase of 61 desks for government offices,4845000,6
C0437,2024-03-09,Social Welfare,TechCorp Services,533619,IT Equipment,Purchase of 182 desks for government offices,517126,4
C0438,2024-12-04,PWD,QuickOffice Supplies,432489,Furniture,Purchase of 494 vehicles for government offices,444965,6
C0439,2024-11-03,Agriculture,PrimeVendor Corporation,10461359,Infrastructure,Purchase of 185 desks for government offices,10185649,7
C0440,2024-11-01,Social Welfare,SmartCity Developers,913463,Construction,Purchase of 153 servers for government offices,883490,3
C0441,2024-11-06,PWD,PrimeVendor Corporation,14200000,Maintenance,Emergency procurement of furniture for department,8271198,1
C0442,2024-01-01,Social Welfare,QuickOffice Supplies,4783066,Infrastructure,Purchase of 407 servers for government offices,4774212,3
C0443,2024-07-14,Health,DataSystems India,8293150,Maintenance,Purchase of 442 desks for government offices,8022833,6
C0444,2024-07-28,Education,Auto Parts Ltd,506372,Office Supplies,Purchase of 317 laptops for government offices,533019,7
C0445,2024-12-18,Social Welfare,TechCorp Services,4543404,Vehicles,Purchase of 179 medicines for government offices,4407652,7
C0446,2024-11-09,Agriculture,HealthFirst Products,5132457,Maintenance,Purchase of 297 desks for government offices,5151547,7
C0447,2024-09-04,Health,Digital Solutions Inc,1946590,Office Supplies,Purchase of 426 desks for government offices,2045175,6
C0448,2024-08-16,Education,Medicare Corporation,830083,Furniture,Purchase of 460 servers for government offices,843434,5
C0449,2024-11-21,IT Department,QuickOffice Supplies,1300000,Vehicles,Emergency procurement of laptops for department,740470,2
C0450,2024-02-10,Education,GreenTech Industries,5396027,Construction,Purchase of 196 furniture for government offices,5407271,7
C0451,2024-11-23,Education,GreenTech Industries,430256,Maintenance,Purchase of 196 desks for government offices,445484,7
C0452,2024-09-21,PWD,BuildCo Infrastructure,8508448,Services,Purchase of 385 laptops for government offices,8122912,4
C0453,2024-07-23,Health,PrimeVendor Corporation,4608176,Medical Supplies,Purchase of 427 furniture for government offices,4497765,3
C0454,2024-10-08,Transport,EduSupply Solutions,10745026,Furniture,Purchase of 165 servers for government offices,10694012,5
C0455,2024-10-21,Health,GreenTech Industries,2100000,Maintenance,Immediate procurement of supplies for department,911695,1
C0456,2024-05-11,Transport,GreenTech Industries,8750424,Vehicles,Purchase of 338 vehicles for government offices,8816576,6
C0457,2024-08-22,Transport,Urban Builders,10586069,Office Supplies,Purchase of 84 vehicles for government offices,10720047,5
C0458,2024-06-10,Health,Auto Parts Ltd,1909902,Vehicles,Purchase of 177 medicines for government offices,1816821,5
C0459,2024-02-08,Transport,EduSupply Solutions,942966,Office Supplies,Purchase of 187 desks for government offices,939156,7
C0460,2024-04-30,Agriculture,Medicare Corporation,1724067,Medical Supplies,Purchase of 478 servers for government offices,1683309,4
C0461,2024-03-02,Agriculture,TechCorp Services,4920740,Vehicles,Purchase of 71 vehicles for government offices,5163587,7
C0462,2024-09-09,Transport,GreenTech Industries,10606306,Construction,Purchase of 193 vehicles for government offices,10752722,7
C0463,2024-01-28,PWD,EduSupply Solutions,4717480,Medical Supplies,Purchase of 227 vehicles for government offices,4813244,7
C0464,2024-12-23,Health,PharmaCo Enterprises,2013526,Vehicles,Purchase of 244 servers for government offices,1915943,4
C0465,2024-11-09,Agriculture,Medicare Corporation,964569,Infrastructure,Purchase of 363 medicines for government offices,946076,6
C0466,2024-08-05,PWD,TechCorp Services,1819046,Office Supplies,Purchase of 142 servers for government offices,1822824,6
C0467,2024-02-21,PWD,EduSupply Solutions,966602,IT Equipment,Purchase of 124 furniture for government offices,1025874,4
C0468,2024-03-31,Agriculture,GreenTech Industries,1098668,Infrastructure,Purchase of 323 furniture for government offices,1165050,7
C0469,2024-06-02,IT Department,EduSupply Solutions,8143127,Medical Supplies,Purchase of 80 desks for government offices,7840746,4
C0470,2024-08-18,Social Welfare,BuildCo Infrastructure,1816577,Vehicles,Purchase of 226 laptops for government offices,1858077,5
C0471,2024-12-13,Agriculture,PharmaCo Enterprises,973056,Maintenance,Purchase of 139 medicines for government offices,1006609,7
C0472,2024-09-06,PWD,SmartCity Developers,5334448,Construction,Purchase of 287 furniture for government offices,5331990,5
C0473,2024-11-23,Health,Medicare Corporation,1853089,Vehicles,Purchase of 484 laptops for government offices,1907941,6
C0474,2024-04-26,Agriculture,Digital Solutions Inc,2026260,Maintenance,Purchase of 188 vehicles for government offices,2084413,6
C0475,2024-08-18,Health,QuickOffice Supplies,1056263,Construction,Purchase of 388 medicines for government offices,1020619,4
C0476,2024-07-22,Health,BuildCo Infrastructure,1400000,Services,Emergency procurement of furniture for department,787242,1
C0477,2024-11-12,PWD,Medicare Corporation,4464055,Maintenance,Purchase of 276 furniture for government offices,4384423,5
C0478,2024-03-28,IT Department,HealthFirst Products,5500000,Infrastructure,Critical procurement of vehicles for department,2776937,2
C0479,2024-03-10,IT Department,PrimeVendor Corporation,8531109,Vehicles,Purchase of 272 servers for government offices,8767300,7
C0480,2024-09-03,Education,ABC Technologies Pvt Ltd,466279,Maintenance,Purchase of 129 medicines for government offices,465137,5
C0481,2024-03-10,IT Department,ABC Technologies Pvt Ltd,4802648,Furniture,Purchase of 436 vehicles for government offices,4991920,6
C0482,2024-05-29,Transport,Medicare Corporation,482231,Furniture,Purchase of 273 vehicles for government offices,469940,7
C0483,2024-07-12,IT Department,DataSystems India,463335,Maintenance,Purchase of 463 furniture for government offices,454597,7
C0484,2024-05-17,IT Department,Digital Solutions Inc,427361,Infrastructure,Purchase of 366 vehicles for government offices,422081,6
C0485,2024-04-06,IT Department,Medicare Corporation,814889,Infrastructure,Purchase of 102 medicines for government offices,830816,4
C0486,2024-01-05,Agriculture,EduSupply Solutions,804417,IT Equipment,Purchase of 209 vehicles for government offices,786908,6
C0487,2024-06-18,Transport,PrimeVendor Corporation,1500000,Services,Critical procurement of equipment for department,1002226,1
C0488,2024-07-14,Transport,Digital Solutions Inc,546189,IT Equipment,Purchase of 444 vehicles for government offices,569625,6
C0489,2024-04-11,IT Department,PrimeVendor Corporation,478170,Vehicles,Purchase of 249 furniture for government offices,515311,6
C0490,2024-03-22,IT Department,QuickOffice Supplies,511708,Vehicles,Purchase of 179 vehicles for government offices,522681,3
C0491,2024-01-27,PWD,GreenTech Industries,1091982,Services,Purchase of 216 laptops for government offices,1070880,6
C0492,2024-10-26,Health,QuickOffice Supplies,1500000,Construction,Urgent procurement of supplies for department,624423,2
C0493,2024-09-12,PWD,Digital Solutions Inc,20000000,Maintenance,Emergency procurement of supplies for department,13870646,1
C0494,2024-02-24,Transport,ABC Technologies Pvt Ltd,895021,Furniture,Purchase of 462 vehicles for government offices,915235,5
C0495,2024-07-02,Urban Development,QuickOffice Supplies,2139197,Construction,Purchase of 336 medicines for government offices,2167197,6
C0496,2024-10-05,PWD,EduSupply Solutions,4412986,Services,Purchase of 132 laptops for government offices,4669272,7
C0497,2024-05-14,Education,TechCorp Services,4001079,Vehicles,Purchase of 425 desks for government offices,4132888,6
C0498,2024-11-13,Urban Development,GreenTech Industries,498743,Maintenance,Purchase of 147 servers for government offices,508749,6
C0499,2024-03-19,Health,ABC Technologies Pvt Ltd,1845882,Construction,Purchase of 317 furniture for government offices,1830862,3
C0500,2024-04-01,Social Welfare,Urban Builders,832116,Infrastructure,Purchase of 342 furniture for government offices,811238,3
C0501,2024-09-26,Education,PrimeVendor Corporation,8767815,Office Supplies,Purchase of 417 laptops for government offices,8747000,7
C0502,2024-12-01,Social Welfare,SmartCity Developers,470208,Vehicles,Purchase of 335 furniture for government offices,485752,5
C0503,2024-12-28,Transport,HealthFirst Products,18900000,Medical Supplies,Immediate procurement of laptops for department,7826460,1
C0504,2024-02-21,PWD,HealthFirst Products,9155993,Maintenance,Purchase of 341 furniture for government offices,8928059,4
C0505,2024-07-31,PWD,HealthFirst Products,9073890,Furniture,Purchase of 103 desks for government offices,9161304,6
C0506,2024-09-15,Agriculture,SmartCity Developers,960170,Vehicles,Purchase of 211 servers for government offices,987044,5
C0507,2024-07-30,Transport,Auto Parts Ltd,5239232,Maintenance,Purchase of 338 servers for government offices,5197572,4
C0508,2024-05-10,Education,HealthFirst Products,4671249,Construction,Purchase of 195 servers for government offices,4678824,3
C0509,2024-06-03,Education,EduSupply Solutions,1800000,Vehicles,Urgent procurement of laptops for department,901042,1
C0510,2024-03-20,Health,TechCorp Services,2133775,Furniture,Purchase of 465 medicines for government offices,2096394,5
C0511,2024-10-18,Health,TechCorp Services,508537,Services,Purchase of 299 furniture for government offices,535528,4
C0512,2024-01-20,Social Welfare,PrimeVendor Corporation,9144638,Medical Supplies,Purchase of 228 vehicles for government offices,9614817,5
C0513,2024-04-26,Education,PharmaCo Enterprises,10785959,Maintenance,Purchase of 77 medicines for government offices,11135481,6
C0514,2024-10-16,Health,QuickOffice Supplies,10093305,Furniture,Purchase of 278 servers for government offices,9789654,6
C0515,2024-05-28,Social Welfare,DataSystems India,839656,Medical Supplies,Purchase of 431 laptops for government offices,806683,7
C0516,2024-07-23,Transport,HealthFirst Products,1028609,Maintenance,Purchase of 299 vehicles for government offices,1041487,4
C0517,2024-05-06,Social Welfare,Auto Parts Ltd,2066063,Vehicles,Purchase of 95 laptops for government offices,2049624,7
C0518,2024-06-27,Urban Development,TechCorp Services,1956326,Construction,Purchase of 136 medicines for government offices,1864666,5
C0519,2024-08-13,Transport,TechCorp Services,1700000,Construction,Emergency procurement of laptops for department,921620,1
C0520,2024-05-27,Transport,QuickOffice Supplies,900000,Maintenance,Urgent procurement of vehicles for department,529900,1
C0521,2024-09-24,Education,Auto Parts Ltd,9449078,Maintenance,Purchase of 405 furniture for government offices,9873247,4
C0522,2024-01-23,Urban Development,Urban Builders,442602,IT Equipment,Purchase of 188 laptops for government offices,465880,7
C0523,2024-02-04,Education,DataSystems India,1997788,Furniture,Purchase of 492 laptops for government offices,2134981,5
C0524,2024-04-28,Health,Medicare Corporation,10929835,Office Supplies,Purchase of 298 servers for government offices,10524868,5
C0525,2024-09-13,Agriculture,EduSupply Solutions,10779049,Furniture,Purchase of 321 medicines for government offices,10270207,4
C0526,2024-03-21,Social Welfare,PrimeVendor Corporation,4000000,IT Equipment,Emergency procurement of supplies for department,1995243,1
C0527,2024-10-11,Social Welfare,HealthFirst Products,845512,Office Supplies,Purchase of 94 furniture for government offices,901850,4
C0528,2024-08-01,PWD,QuickOffice Supplies,927939,Construction,Purchase of 218 vehicles for government offices,919225,7
C0529,2024-10-24,PWD,Urban Builders,1058776,Construction,Purchase of 119 vehicles for government offices,1048368,7
C0530,2024-06-11,Agriculture,PrimeVendor Corporation,29200000,Furniture,Urgent procurement of laptops for department,12729712,1
C0531,2024-07-29,IT Department,TechCorp Services,1691174,Office Supplies,Purchase of 144 laptops for government offices,1647932,4
C0532,2024-11-01,Urban Development,Digital Solutions Inc,453889,Vehicles,Purchase of 118 servers for government offices,471798,6
C0533,2024-04-04,Education,PrimeVendor Corporation,4710770,Services,Purchase of 66 vehicles for government offices,4575534,4
C0534,2024-07-30,Urban Development,Digital Solutions Inc,1027332,Vehicles,Purchase of 493 servers for government offices,984798,6
C0535,2024-08-22,Social Welfare,TechCorp Services,4607300,Maintenance,Purchase of 418 medicines for government offices,4401986,6
C0536,2024-09-25,Social Welfare,Digital Solutions Inc,478097,IT Equipment,Purchase of 499 desks for government offices,482260,3
C0537,2024-10-12,Urban Development,Medicare Corporation,428477,Furniture,Purchase of 446 medicines for government offices,431537,5
C0538,2024-05-30,Urban Development,BuildCo Infrastructure,503492,Maintenance,Purchase of 474 furniture for government offices,537466,6
C0539,2024-02-27,Agriculture,EduSupply Solutions,10813527,IT Equipment,Purchase of 251 vehicles for government offices,11251419,4
C0540,2024-04-01,PWD,Digital Solutions Inc,1064764,Medical Supplies,Purchase of 404 furniture for government offices,1024008,5
C0541,2024-02-16,Social Welfare,ABC Technologies Pvt Ltd,12200000,Construction,Urgent procurement of furniture for department,5215860,2
C0542,2024-06-20,IT Department,Digital Solutions Inc,848637,Infrastructure,Purchase of 264 medicines for government offices,822158,3
C0543,2024-05-27,Education,EduSupply Solutions,534781,Infrastructure,Purchase of 368 medicines for government offices,574812,3
C0544,2024-09-12,Urban Development,EduSupply Solutions,491197,Furniture,Purchase of 351 furniture for government offices,498147,4
C0545,2024-08-14,PWD,Medicare Corporation,15000000,IT Equipment,Urgent procurement of laptops for department,10035286,1
C0546,2024-11-30,Health,ABC Technologies Pvt Ltd,1056148,Medical Supplies,Purchase of 202 medicines for government offices,1094918,7
C0547,2024-08-01,PWD,EduSupply Solutions,1001627,Vehicles,Purchase of 343 servers for government offices,1031116,7
C0548,2024-01-19,Health,DataSystems India,3900000,Infrastructure,Critical procurement of vehicles for department,2655930,1
C0549,2024-03-09,Education,BuildCo Infrastructure,1797525,Maintenance,Purchase of 406 desks for government offices,1804334,4
C0550,2024-02-14,Agriculture,DataSystems India,10801675,Maintenance,Purchase of 268 servers for government offices,11646540,5
C0551,2024-10-21,Urban Development,EduSupply Solutions,2156263,Construction,Purchase of 316 furniture for government offices,2220644,6
C0552,2024-11-08,Health,Digital Solutions Inc,2187554,Office Supplies,Purchase of 288 furniture for government offices,2078625,3
C0553,2024-11-11,Transport,Digital Solutions Inc,4068238,Services,Purchase of 55 furniture for government offices,4049745,4
C0554,2024-05-10,Agriculture,PharmaCo Enterprises,1780170,Furniture,Purchase of 108 furniture for government offices,1818442,3
C0555,2024-10-18,Urban Development,GreenTech Industries,524806,IT Equipment,Purchase of 394 vehicles for government offices,511802,5
C0556,2024-11-26,Social Welfare,PrimeVendor Corporation,988160,IT Equipment,Purchase of 221 vehicles for government offices,1053346,7
C0557,2024-09-23,Agriculture,BuildCo Infrastructure,1933106,Construction,Purchase of 400 medicines for government offices,1841154,7
C0558,2024-05-23,Social Welfare,Medicare Corporation,2190171,Medical Supplies,Purchase of 342 servers for government offices,2259044,4
C0559,2024-06-06,Agriculture,EduSupply Solutions,2025904,Services,Purchase of 304 desks for government offices,1996112,3
C0560,2024-04-20,Education,GreenTech Industries,833669,Infrastructure,Purchase of 97 vehicles for government offices,877055,4
C0561,2024-09-13,PWD,GreenTech Industries,2154182,Medical Supplies,Purchase of 208 medicines for government offices,2251588,7
C0562,2024-09-21,Health,ABC Technologies Pvt Ltd,861556,Services,Purchase of 415 servers for government offices,822572,6
C0563,2024-01-23,IT Department,ABC Technologies Pvt Ltd,10615625,Services,Purchase of 102 servers for government offices,10544794,3
C0564,2024-11-23,Health,DataSystems India,1720333,Construction,Purchase of 213 vehicles for government offices,1698405,7
C0565,2024-03-21,Agriculture,HealthFirst Products,543744,Vehicles,Purchase of 155 servers for government offices,556114,3
C0566,2024-05-18,Urban Development,ABC Technologies Pvt Ltd,1944449,Construction,Purchase of 363 medicines for government offices,1890521,5
C0567,2024-01-15,Urban Development,TechCorp Services,415889,Vehicles,Purchase of 250 desks for government offices,398003,6
C0568,2024-06-08,PWD,BuildCo Infrastructure,1013869,Infrastructure,Purchase of 90 vehicles for government offices,1051598,7
C0569,2024-02-19,IT Department,PrimeVendor Corporation,4705818,Vehicles,Purchase of 490 servers for government offices,5050134,4
C0570,2024-07-19,Health,EduSupply Solutions,2073267,Medical Supplies,Purchase of 299 laptops for government offices,2207433,6
C0571,2024-06-28,Health,Auto Parts Ltd,884677,Medical Supplies,Purchase of 115 servers for government offices,880536,7
C0572,2024-06-15,Transport,TechCorp Services,518864,Office Supplies,Purchase of 352 vehicles for government offices,528855,6
C0573,2024-10-07,Agriculture,HealthFirst Products,4575724,Office Supplies,Purchase of 270 vehicles for government offices,4549609,7
C0574,2024-03-29,Urban Development,PharmaCo Enterprises,510905,Maintenance,Purchase of 108 servers for government offices,532643,6
C0575,2024-02-19,Social Welfare,PharmaCo Enterprises,892410,Infrastructure,Purchase of 105 furniture for government offices,894866,7
C0576,2024-11-26,Education,GreenTech Industries,432641,Construction,Purchase of 436 furniture for government offices,418822,7
C0577,2024-12-04,Agriculture,DataSystems India,8874509,Services,Purchase of 150 desks for government offices,9140960,6
C0578,2024-08-10,PWD,SmartCity Developers,2194173,Services,Purchase of 311 vehicles for government offices,2250682,7
C0579,2024-02-01,Health,SmartCity Developers,10903698,Services,Purchase of 470 medicines for government offices,10359708,7
C0580,2024-01-16,Social Welfare,HealthFirst Products,9182804,Office Supplies,Purchase of 257 vehicles for government offices,9103432,6
C0581,2024-12-05,PWD,DataSystems India,856468,Construction,Purchase of 480 vehicles for government offices,856465,5
C0582,2024-03-09,PWD,Urban Builders,800000,Furniture,Urgent procurement of laptops for department,570967,2
C0583,2024-08-21,Urban Development,Auto Parts Ltd,10790933,Vehicles,Purchase of 310 vehicles for government offices,11125692,6
C0584,2024-04-25,IT Department,Auto Parts Ltd,8022289,Maintenance,Purchase of 414 servers for government offices,8140701,4
C0585,2024-10-22,Health,Medicare Corporation,485222,Maintenance,Purchase of 347 vehicles for government offices,505424,3
C0586,2024-05-23,Health,Urban Builders,478503,Maintenance,Purchase of 291 furniture for government offices,492527,4
C0587,2024-10-23,Urban Development,TechCorp Services,535537,Vehicles,Purchase of 290 vehicles for government offices,546009,3
C0588,2024-08-03,IT Department,ABC Technologies Pvt Ltd,1773525,Infrastructure,Purchase of 433 medicines for government offices,1692993,7
C0589,2024-10-23,Urban Development,BuildCo Infrastructure,498447,Construction,Purchase of 63 medicines for government offices,492429,7
C0590,2024-09-15,Health,TechCorp Services,3700000,Construction,Immediate procurement of laptops for department,2196369,1
C0591,2024-10-29,Education,PharmaCo Enterprises,4554650,Medical Supplies,Purchase of 298 desks for government offices,4430772,4
C0592,2024-03-15,Transport,Urban Builders,1051284,Infrastructure,Purchase of 444 vehicles for government offices,1101597,6
C0593,2024-11-22,Education,Medicare Corporation,10203083,Infrastructure,Purchase of 436 laptops for government offices,10150637,5
C0594,2024-07-23,Social Welfare,EduSupply Solutions,5119225,Services,Purchase of 169 vehicles for government offices,5364003,7
C0595,2024-03-15,Agriculture,HealthFirst Products,4017794,IT Equipment,Purchase of 245 furniture for government offices,4301204,6
C0596,2024-02-19,IT Department,GreenTech Industries,2173710,Medical Supplies,Purchase of 221 medicines for government offices,2187039,5
C0597,2024-05-10,Transport,HealthFirst Products,4691662,Vehicles,Purchase of 425 furniture for government offices,4868949,4
C0598,2024-12-12,Education,Auto Parts Ltd,893980,Medical Supplies,Purchase of 475 laptops for government offices,850510,3
C0599,2024-09-25,Education,TechCorp Services,10100000,Medical Supplies,Urgent procurement of laptops for department,6259972,1
C0600,2024-01-30,PWD,Auto Parts Ltd,1085146,Construction,Purchase of 94 servers for government offices,1120902,3
C0601,2024-02-26,IT Department,GreenTech Industries,1776741,Furniture,Purchase of 377 vehicles for government offices,1840458,3
C0602,2024-12-20,Social Welfare,Auto Parts Ltd,1754401,Vehicles,Purchase of 447 laptops for government offices,1844744,5
C0603,2024-01-31,PWD,Urban Builders,1706757,Infrastructure,Purchase of 362 vehicles for government offices,1636817,4
C0604,2024-02-25,Health,ABC Technologies Pvt Ltd,4327579,Medical Supplies,Purchase of 416 medicines for government offices,4473132,6
C0605,2024-02-06,Education,PrimeVendor Corporation,2066342,IT Equipment,Purchase of 126 furniture for government offices,1968065,6
C0606,2024-12-06,Urban Development,EduSupply Solutions,1010016,Furniture,Purchase of 51 servers for government offices,1078293,7
C0607,2024-07-25,Agriculture,PharmaCo Enterprises,481019,Services,Purchase of 112 servers for government offices,457174,6
C0608,2024-07-24,IT Department,Urban Builders,1000000,Office Supplies,Emergency procurement of furniture for department,671757,1
C0609,2024-03-31,Agriculture,EduSupply Solutions,4991101,Medical Supplies,Purchase of 104 furniture for government offices,4935465,6
C0610,2024-11-19,Social Welfare,BuildCo Infrastructure,841982,Maintenance,Purchase of 172 vehicles for government offices,821018,7
C0611,2024-11-25,Education,PharmaCo Enterprises,10894861,IT Equipment,Purchase of 68 medicines for government offices,11499865,3
C0612,2024-07-26,Education,Digital Solutions Inc,21800000,Construction,Urgent procurement of laptops for department,13200220,1
C0613,2024-09-07,PWD,ABC Technologies Pvt Ltd,5360768,Construction,Purchase of 409 furniture for government offices,5523673,4
C0614,2024-11-19,Health,EduSupply Solutions,5400000,Office Supplies,Emergency procurement of laptops for department,2344316,1
C0615,2024-02-02,PWD,PharmaCo Enterprises,4506014,Office Supplies,Purchase of 216 laptops for government offices,4770365,6
C0616,2024-01-24,Agriculture,HealthFirst Products,1637933,Construction,Purchase of 136 furniture for government offices,1614356,6
